id,ime_beli,ime_crni,rating_beli,rating_crni,rezultat,rating_spr,poteze,st_potez,leto,underdog,pravi_underdog
16084026,Magnus Carlsen,Andrey Esipenko,2886,2595,1,1.5774132752957448,1. e4 e5 2. Nf3 Nc6 3. Bb5 Nf6,62,2021,0,0
16086430,Magnus Carlsen,Etienne Bacrot,2847,2678,1,2.743143537282129,1. e4 c5 2. Nf3 d6 3. Bb5+ Bd7,39,2021,0,0
16090856,Magnus Carlsen,Vladimir Fedoseev,2847,2700,1,3.002305967379418,1. e4 c6 2. d4 d5 3. e5 Bf5,50,2021,0,0
16104462,Magnus Carlsen,Wesley So,2881,2774,1,3.5070505288903653,1. d4 Nf6 2. c4 e6 3. Bf4 d5,55,2021,0,0
16104644,Magnus Carlsen,Le Quang Liem,2881,2744,1,3.1246175178765823,1. e4 e5 2. Nf3 Nc6 3. Bb5 a6,43,2021,0,0
16105512,Magnus Carlsen,Daniel Naroditsky,2881,2639,1,1.9891906017105432,1. e4 c6 2. d4 d5 3. e5 c5,26,2021,0,0
16181557,Ding Liren,Jan-Krzysztof Duda,2806,2750,1,4.201002396421185,1. c4 Nf6 2. g3 e6 3. Bg2 d5,61,2022,0,0
16173515,Ding Liren,Ian Nepomniachtchi,2806,2766,0,-5.573116337622928,1. c4 e5 2. g3 c6 3. Nf3 e4,32,2022,1,0
16174455,Ding Liren,Richard Rapport,2806,2764,0.5,-0.6015014523190287,1. d4 Nf6 2. c4 g6 3. Nc3 d5,40,2022,1,0
16175733,Ding Liren,Fabiano Caruana,2806,2783,0.5,-0.33051393884441116,1. d4 Nf6 2. c4 e6 3. Nf3 d5,64,2022,1,0
16180903,Ding Liren,Alireza Firouzja,2806,2793,0.5,-0.1869977792955857,1. c4 e5 2. g3 Nf6 3. Bg2 Bc5,54,2022,1,0
16235177,Ding Liren,Jeffery Xiong,2788,2714,0.5,-1.0491290200795689,1. c4 e6 2. Nc3 d5 3. d4 Nf6,40,2022,1,0
16234967,Jeffery Xiong,Ding Liren,2725,2836,1,6.5451999438246595,1. c4 Nf6 2. Nc3 e5 3. g3 Bb4,37,2022,1,1
16173757,Jan-Krzysztof Duda,Ding Liren,2750,2806,0.5,0.7989976035788143,1. e4 e5 2. Nf3 Nc6 3. Bc4 Nf6,41,2022,1,0
16179315,Teimour Radjabov,Ding Liren,2753,2806,0.5,0.7568695237642958,1. d4 Nf6 2. c4 e6 3. g3 Bb4+,50,2022,1,0
16179451,Hikaru Nakamura,Ding Liren,2760,2806,0.5,0.6581520306923316,1. e4 e5 2. Nf3 Nc6 3. Bc4 Nf6,42,2022,1,0
16181193,Ian Nepomniachtchi,Ding Liren,2766,2806,0.5,0.5731163376229276,1. e4 e5 2. Nf3 Nc6 3. Nc3 Nf6,37,2022,1,0
15792481,Ding Liren,Leinier Dominguez Perez,2791,2758,1,4.526514819541353,1. c4 c5 2. g3 g6 3. Bg2 Bg7,51,2021,0,0
15792555,Ding Liren,Santosh Gujrathi Vidit,2791,2726,1,4.075337694156682,1. c4 c5 2. g3 g6 3. Bg2 Bg7,51,2021,0,0
15792637,Ding Liren,Magnus Carlsen,2791,2862,1,6.0077824589001105,1. d4 Nf6 2. c4 e6 3. Nf3 a6,36,2021,1,0
16031359,Ding Liren,Alexander Grischuk,2791,2777,1,4.798632779641835,1. d4 d5 2. c4 e6 3. Nf3 Nf6,47,2021,0,0
16031545,Ding Liren,Ian Nepomniachtchi,2791,2789,1,4.971218004251891,1. d4 Nf6 2. c4 g6 3. f3 e6,35,2021,0,0
16044166,Ding Liren,Alan Pichot,2799,2630,1,2.743143537282129,1. Nf3 Nf6 2. g3 g6 3. Bg2 Bg7,49,2021,0,0
16044892,Ding Liren,Alexander Grischuk,2799,2776,1,4.669486061155589,1. d4 d5 2. c4 e6 3. Nc3 c5,45,2021,0,0
16066514,Ding Liren,Vladislav Artemiev,2836,2757,1,3.882294992189357,1. d4 d5 2. c4 e6 3. Nf3 Nf6,40,2021,0,0
16067086,Ding Liren,Peter Svidler,2836,2742,1,3.679299878999265,1. d4 Nf6 2. c4 g6 3. f3 d5,41,2021,0,0
16068624,Ding Liren,Jan-Krzysztof Duda,2836,2774,1,4.117100281368372,1. d4 d5 2. c4 c6 3. Nf3 Nf6,64,2021,0,0
16069316,Ding Liren,Vladislav Artemiev,2836,2757,1,3.882294992189357,1. d4 Nf6 2. c4 g6 3. f3 Nc6,36,2021,0,0
16069548,Ding Liren,Vladislav Artemiev,2836,2757,1,3.882294992189357,1. d4 d5 2. c4 e6 3. Nf3 a6,41,2021,0,0
16070432,Ding Liren,Magnus Carlsen,2836,2881,1,5.644004902404212,1. d4 Nf6 2. c4 e6 3. g3 d5,66,2021,1,0
16114550,Ding Liren,Tsegmed Batchuluun,2836,2445,1,0.9528246971781762,1. c4 Nf6 2. Nf3 e6 3. g3 d5,39,2021,0,0
16117078,Ding Liren,Jan-Krzysztof Duda,2836,2801,1,4.498006467464631,1. d4 Nf6 2. c4 e6 3. Nf3 d5,31,2021,0,0
16140302,Ding Liren,S P Sethuraman,2836,2556,1,1.6633753081656188,1. Nf3 d5 2. g3 c6 3. Bg2 Bg4,52,2021,0,0
16141584,Ding Liren,Anish Giri,2836,2767,1,4.019862342306563,1. Nf3 d5 2. g3 Nf6 3. Bg2 e6,44,2021,0,0
16153527,Ding Liren,Shakhriyar Mamedyarov,2788,2754,1,4.5122566414025815,1. d4 d5 2. c4 e6 3. Nc3 a6,27,2021,0,0
16153645,Ding Liren,Shakhriyar Mamedyarov,2788,2754,1,4.5122566414025815,1. d4 Nf6 2. c4 g6 3. h4 c6,33,2021,0,0
16153881,Ding Liren,Shakhriyar Mamedyarov,2788,2754,1,4.5122566414025815,1. d4 Nf6 2. c4 e6 3. Nf3 d5,63,2021,0,0
16156497,Ding Liren,Shakhriyar Mamedyarov,2788,2754,1,4.5122566414025815,1. d4 d5 2. c4 dxc4 3. e4 e5,43,2021,0,0
16157565,Ding Liren,Lu Shanglei,2799,2616,1,2.5856647703070044,1. c4 c6 2. Nf3 Nf6 3. g3 d5,41,2021,0,0
16162603,Ding Liren,Levon Aronian,2788,2740,1,4.313586081163323,1. d4 d5 2. c4 dxc4 3. Nf3 Nf6,47,2021,0,0
16162609,Ding Liren,Levon Aronian,2788,2740,1,4.313586081163323,1. d4 d5 2. c4 dxc4 3. Nf3 Nf6,33,2021,0,0
16162625,Ding Liren,Levon Aronian,2788,2740,1,4.313586081163323,1. d4 d5 2. c4 dxc4 3. Nf3 Nf6,30,2021,0,0
16162695,Ding Liren,Levon Aronian,2788,2740,1,4.313586081163323,1. d4 d5 2. c4 dxc4 3. Nf3 Nf6,39,2021,0,0
16162697,Ding Liren,Levon Aronian,2788,2740,1,4.313586081163323,1. d4 Nf6 2. Nf3 g6 3. c4 Bg7,33,2021,0,0
16162711,Ding Liren,Levon Aronian,2788,2740,1,4.313586081163323,1. d4 Nf6 2. Nf3 g6 3. g3 Bg7,30,2021,0,0
16162729,Ding Liren,Levon Aronian,2788,2740,1,4.313586081163323,1. d4 Nf6 2. Nf3 g6 3. c4 Bg7,54,2021,0,0
16162799,Ding Liren,Levon Aronian,2788,2740,1,4.313586081163323,1. d4 Nf6 2. Nf3 g6 3. c4 Bg7,65,2021,0,0
15792605,Ding Liren,Alexander Grischuk,2791,2777,0,-5.201367220358165,1. c4 c5 2. g3 g6 3. Bg2 Bg7,74,2021,1,0
16067440,Ding Liren,Jan-Krzysztof Duda,2836,2774,0,-5.882899718631628,1. c4 c5 2. Nf3 Nc6 3. e3 Nf6,53,2021,1,0
16068546,Ding Liren,Jan-Krzysztof Duda,2836,2774,0,-5.882899718631628,1. d4 d5 2. c4 c6 3. Nf3 Nf6,45,2021,1,0
16135166,Ding Liren,Vidit Santosh Gujrathi,2836,2639,0,-7.565805942950527,1. d4 Nf6 2. Bf4 d5 3. e3 c5,47,2021,1,1
16153513,Ding Liren,Shakhriyar Mamedyarov,2788,2754,0,-5.4877433585974185,1. d4 Nf6 2. c4 e6 3. Nf3 c5,31,2021,1,0
